M,theta,beta_lower,beta_upper
4.000000,20.000000,572933.682576,572933.682576
4.000000,21.000000,572933.910705,572933.910705
4.000000,22.000000,572934.127991,572934.127991
4.000000,23.000000,572934.335110,572934.335110
4.000000,24.000000,572934.532700,572934.532700
4.000000,25.000000,572934.721360,572934.721360
4.000000,26.000000,572934.901648,572934.901648
4.000000,27.000000,572935.074089,572935.074089
4.000000,28.000000,572935.239173,572935.239173
4.000000,29.000000,572935.397357,572935.397357
4.000000,30.000000,572935.549069,572935.549069
4.000000,31.000000,572935.694705,572935.694705
4.000000,32.000000,572935.834638,572935.834638
4.000000,33.000000,572935.969213,572935.969213
4.000000,34.000000,572936.098755,572936.098755
4.000000,35.000000,572936.223562,572936.223562
4.000000,36.000000,572936.343917,572936.343917
4.000000,37.000000,572936.460082,572936.460082
4.000000,38.000000,572936.572300,572936.572300
4.000000,39.000000,572936.680801,572936.680801
4.000000,40.000000,572936.785798,572936.785798
4.000000,41.000000,572936.887490,572936.887490
4.000000,42.000000,572936.986064,572936.986064
4.000000,43.000000,572937.081692,572937.081692
4.000000,44.000000,572937.174543,572937.174543
4.000000,45.000000,572937.264768,572937.264768
4.000000,46.000000,572937.352511,572937.352511
4.000000,47.000000,572937.437906,572937.437906
4.000000,48.000000,572937.521080,572937.521080
4.000000,49.000000,572937.602154,572937.602154
4.000000,50.000000,572937.681239,572937.681239
4.000000,51.000000,572937.758442,572937.758442
4.000000,52.000000,572937.833861,572937.833861
4.000000,53.000000,572937.907592,572937.907592
4.000000,54.000000,572937.979723,572937.979723
4.000000,55.000000,572938.050338,572938.050338
4.000000,56.000000,572938.119517,572938.119517
4.000000,57.000000,572938.187336,572938.187336
4.000000,58.000000,572938.253865,572938.253865
4.000000,59.000000,572938.319174,572938.319174
4.000000,60.000000,572938.383325,572938.383325
4.000000,61.000000,572938.446382,572938.446382
4.000000,62.000000,572938.508401,572938.508401
4.000000,63.000000,572938.569440,572938.569440
4.000000,64.000000,572938.629551,572938.629551
4.000000,65.000000,572938.688785,572938.688785
4.000000,66.000000,572938.747191,572938.747191
4.000000,67.000000,572938.804815,572938.804815
4.000000,68.000000,572938.861703,572938.861703
4.000000,69.000000,572938.917896,572938.917896
4.000000,70.000000,572938.973438,572938.973438
4.000000,71.000000,572939.028366,572939.028366
4.000000,72.000000,572939.082721,572939.082721
4.000000,73.000000,572939.136538,572939.136538
4.000000,74.000000,572939.189854,572939.189854
4.000000,75.000000,572939.242704,572939.242704
4.000000,76.000000,572939.295121,572939.295121
4.000000,77.000000,572939.347138,572939.347138
4.000000,78.000000,572939.398788,572939.398788
4.000000,79.000000,572939.450101,572939.450101
4.000000,80.000000,572939.501107,572939.501107
4.000000,81.000000,572939.551838,572939.551838
